feature,mean_score_drop,repeat_std
VehPower,0.0,0.0
VehAge,0.0,0.0
DrivAge,0.0,0.0
Density,0.0,0.0
Area,0.0,0.0
VehBrand,0.0,0.0
VehGas,0.0,0.0
Region,0.0,0.0
