feature,mean_score_drop,repeat_std
DrivAge,0.016936484603164877,0.0024103972873790566
VehAge,0.015061389879519198,0.004326928896967989
Density,0.004278615377018907,0.001089577035702888
Region,0.0036824200767739345,0.003375642041837279
VehPower,0.0023024607987447735,0.0012320354736608356
Area,0.0005258809933285813,0.00045958057643509585
VehGas,2.8358796283378673e-05,0.001273794724514785
VehBrand,-0.0019955202582995907,0.00314806475819672
